,address,탑승승객수,하차승객수
0,강남구,8866092,8441292
1,관악구,6779508,6830265
2,서초구,6639412,6502958
3,성북구,6046094,6009471
4,영등포구,5931421,5966647
5,서대문구,5836149,5638685
6,송파구,5742044,5745666
7,종로구,5531811,5357018
8,동대문구,5338922,5231785
9,마포구,5142093,5241463
10,은평구,5067268,4968092
11,구로구,5010540,4786098
12,동작구,4931916,4823216
13,강서구,4740481,4696688
14,강북구,4718950,4588938
15,양천구,4324705,4126031
16,노원구,4235957,4127188
17,용산구,4157030,4069173
18,중랑구,3895588,3842228
19,중구,3870991,3698503
20,금천구,3732466,3584678
21,도봉구,3191490,3160761
22,성동구,2931739,2876456
23,강동구,2863138,2789010
24,광진구,2847062,2858562
