자치구,중대형 지하1층,중대형 1층,중대형 2층,중대형 3층,중대형 4층,중대형 5층,중대형 6-10층,소형 지하1층,소형 1층,소형 2층
강남구,22.13,64.54,32.0,25.54,23.36,22.5,21.64,29.43,64.67,33.71
강동구,11.1,47.2,20.5,15.2,13.5,12.0,12.1,0.0,56.1,24.7
강북구,13.17,45.93,18.9,15.43,12.5,12.93,14.33,13.0,42.6,17.8
강서구,10.7,35.2,16.3,14.8,12.3,10.1,9.0,6.2,28.7,13.6
관악구,18.4,72.8,28.9,21.95,19.65,21.25,18.05,13.8,65.75,30.85
광진구,14.3,52.55,22.8,16.45,15.25,12.95,13.7,16.05,39.4,20.75
구로구,11.7,45.2,18.8,13.0,11.7,9.1,0.0,0.0,47.1,28.3
금천구,11.7,33.2,14.1,10.6,9.3,11.4,0.0,0.0,31.2,13.2
노원구,8.4,29.6,14.4,12.2,10.9,12.1,0.0,10.0,26.0,9.8
동대문구,11.38,44.32,18.1,13.7,12.58,12.1,7.7,8.72,42.4,19.38
동작구,14.75,53.75,25.05,19.85,17.85,16.15,16.05,13.6,35.35,17.65
마포구,19.42,45.32,24.28,19.02,18.53,16.98,12.68,36.35,50.92,32.48
서대문구,13.8,63.2,24.6,17.5,15.9,14.9,16.0,42.4,45.4,19.8
서초구,12.05,33.2,20.05,18.15,16.8,17.4,22.85,18.4,40.0,23.55
성동구,13.15,44.55,19.15,16.05,15.95,15.5,9.8,22.25,48.0,21.7
송파구,11.73,39.97,17.43,14.6,14.5,15.27,20.93,9.83,32.5,14.3
양천구,10.5,33.8,15.6,14.0,13.2,13.8,12.4,16.1,35.1,15.7
영등포구,9.5,34.6,17.15,12.25,10.2,12.05,14.65,8.1,35.6,21.65
용산구,13.37,40.6,22.83,19.13,19.77,14.83,14.07,26.3,45.9,29.23
은평구,15.3,46.1,20.35,14.55,12.95,13.55,7.5,13.05,40.6,17.6
전체,15.4,52.5,23.9,19.0,17.7,17.8,17.4,23.4,49.4,25.7
종로구,20.63,73.67,32.8,24.13,20.53,19.07,18.83,6.37,67.53,35.57
중구,17.42,86.38,35.32,26.8,24.28,20.46,13.42,11.48,80.6,34.6
중랑구,12.3,38.0,19.0,16.2,12.3,15.5,28.1,0.0,46.5,13.2
