,index,지역내총생산(당해년가격) (백만원),1인당 지역내총생산 (천원)
0,1,77924019,155358
1,2,9364063,20717
2,3,3462961,11754
3,4,18347568,32709
4,5,6347562,12792
5,6,6554954,18732
6,7,14663398,34144
7,8,17801015,71770
8,9,6728358,13331
9,10,7711273,22164
10,11,6712864,17250
11,12,21399314,58606
12,13,9039083,28793
13,14,38335706,96783
14,15,13999893,48682
15,16,31834324,50290
16,17,7356067,16897
17,18,44265877,109100
18,19,13294640,58918
19,20,5112192,11139
20,21,35719537,238599
21,22,61342710,481395
22,23,4860242,12742
