,자치구,pop_rank,floatpop_rank,income_rank,employee_rank,overrated_point
0,영등포구,4,0.0,0,9,13.0
1,서초구,1,10.0,1,5,17.0
2,금천구,7,4.0,2,8,21.0
3,강서구,0,15.0,5,3,23.0
4,노원구,2,12.0,3,6,23.0
5,송파구,6,8.0,8,2,24.0
6,용산구,3,5.0,7,14,29.0
7,마포구,10,2.0,10,10,32.0
8,양천구,21,9.0,6,1,37.0
9,성동구,12,6.0,11,13,42.0
10,은평구,8,18.0,16,4,46.0
11,강북구,5,17.0,14,12,48.0
12,동대문구,19,1.0,13,16,49.0
13,구로구,16,7.0,12,15,50.0
14,강남구,15,11.0,18,7,51.0
15,강동구,18,20.0,15,0,53.0
16,중랑구,20,14.0,9,11,54.0
17,동작구,14,3.0,20,19,56.0
18,중구,22,11.0,4,22,59.0
19,종로구,9,19.0,17,17,62.0
20,광진구,13,13.0,19,18,63.0
21,서대문구,11,16.0,21,20,68.0
22,관악구,17,21.0,22,21,81.0
